city,lat,lng,country,id_resto,code_postale
Beelen,51.9292,8.1181,Germany,251,70121
Montegiorgio,43.1307,13.5371,Italy,252,6060
Garbsen,52.4183,9.5981,Germany,253,38100
Hohen Neuendorf,52.6667,13.2831,Germany,254,19330
Zwiesel,49.0167,13.2333,Germany,255,63468
Durmersheim,48.9383,8.2769,Germany,256,18725
Sainte-Adresse,49.5064,0.0833,France,257,75789
Wathlingen,52.5333,10.15,Germany,258,45267
Argelès-sur-Mer,42.5461,3.0239,France,259,38717
Dives-sur-Mer,49.2856,-0.1011,France,260,54685
Sarreguemines,49.11,7.07,France,261,19573
Dunkerque,51.0383,2.3775,France,262,84303
Bresso,45.5333,9.1833,Italy,263,3878
Aiffres,46.2864,-0.4172,France,264,31479
Pasewalk,53.5063,13.99,Germany,265,38661
Bad Zwischenahn,53.1836,8.0097,Germany,266,20733
Erkelenz,51.08,6.3156,Germany,267,26474
Cavarzere,45.137,12.0817,Italy,268,26333
Wernberg-Köblitz,49.5333,12.15,Germany,269,10209
Crest,44.7283,5.0222,France,270,73900
Fiano Romano,42.1667,12.6,Italy,271,19883
Romans-sur-Isère,45.0464,5.0517,France,272,11658
Saint-Maur-des-Fossés,48.7994,2.4997,France,273,86092
Villa d’Almè,45.75,9.6167,Italy,274,57223
Bremerhaven,53.55,8.5833,Germany,275,8230
La Colle-sur-Loup,43.6864,7.1039,France,276,94138
Zanè,45.7167,11.4667,Italy,277,55774
Santa Maria a Vico,41.0333,14.4833,Italy,278,87177
Monzuno,44.2833,11.2667,Italy,279,36564
Fontenay-le-Fleury,48.8136,2.0486,France,280,9011
Altötting,48.2264,12.6759,Germany,281,48397
Jouy-le-Moutier,49.0108,2.0386,France,282,49909
Plouay,47.9147,-3.3353,France,283,66763
Fontainebleau,48.4089,2.7017,France,284,16298
Montopoli in Val d’Arno,43.6744,10.7503,Italy,285,32098
Trith-Saint-Léger,50.3256,3.4858,France,286,72536
Meuselwitz,51.05,12.3,Germany,287,36070
Acri,39.5,16.3833,Italy,288,83594
Lübben (Spreewald),51.95,13.9,Germany,289,75064
Muzillac,47.5531,-2.4817,France,290,50426
Ensisheim,47.8656,7.3525,France,291,46088
Bischheim,48.6139,7.7519,France,292,68166
Lambesc,43.6539,5.2619,France,293,16222
Furiani,42.6567,9.4331,France,294,31138
Roßtal,49.4,10.8833,Germany,295,13406
Città di Castello,43.4574,12.2403,Italy,296,55061
Hannover,52.3744,9.7386,Germany,297,8990
Kerpen,50.8719,6.6961,Germany,298,59356
Sulz am Neckar,48.3628,8.6317,Germany,299,93881
Tirano,46.2164,10.1689,Italy,300,56396
Crosne,48.7147,2.4611,France,301,35292
Capo d’Orlando,38.15,14.7333,Italy,302,4928
Cassis,43.2156,5.5372,France,303,52946
Campofelice di Roccella,37.9833,13.8833,Italy,304,11910
Mazara del Vallo,37.6517,12.5875,Italy,305,35578
Condofuri,38.0,15.8667,Italy,306,62192
Juvisy-sur-Orge,48.6883,2.3775,France,307,47657
Porto San Giorgio,43.1848,13.7955,Italy,308,98827
Sainte-Foy-lès-Lyon,45.73,4.8,France,309,77891
Domont,49.0275,2.3267,France,310,65721
Heusweiler,49.3375,6.9301,Germany,311,74318
Leck,54.7744,8.9736,Germany,312,70001
Pont-à-Mousson,48.9044,6.0542,France,313,89403
Haselünne,52.6667,7.4667,Germany,314,97162
Guichen,47.9675,-1.795,France,315,10567
Haßfurt,50.0353,10.5123,Germany,316,72348
Le Pont-de-Claix,45.1231,5.6981,France,317,96272
Portet-sur-Garonne,43.5219,1.4061,France,318,24437
Serradifalco,37.4538,13.8805,Italy,319,4398
Landriano,45.3167,9.2667,Italy,320,9251
Tombolo,45.6469,11.8281,Italy,321,66344
Marino,41.7667,12.6667,Italy,322,8010
Motta di Livenza,45.7797,12.6086,Italy,323,92411
Steyerberg,52.5703,9.0236,Germany,324,85530
Erdweg,48.3167,11.3,Germany,325,1647
Benevento,41.1333,14.7833,Italy,326,89398
Couzeix,45.8761,1.2386,France,327,93096
Casièr,45.6436,12.2953,Italy,328,69980
Lübz,53.4631,12.0283,Germany,329,12966
Wetzlar,50.5667,8.5,Germany,330,22575
Gradisca d’Isonzo,45.8833,13.5,Italy,331,73814
Berg,47.9675,11.3558,Germany,332,52675
Friedrichroda,50.8575,10.5651,Germany,333,92819
Bad Rappenau,49.2389,9.1028,Germany,334,28971
Lambersart,50.65,3.025,France,335,65624
Oliena,40.271,9.4028,Italy,336,3707
Hofbieber,50.5863,9.8353,Germany,337,96941
Nanterre,48.8988,2.1969,France,338,97885
Traben-Trarbach,49.9511,7.1167,Germany,339,40406
Vöhl,51.2,8.9333,Germany,340,46649
Pulheim,51.0,6.8,Germany,341,49760
Vannes,47.6559,-2.7603,France,342,86308
Gavirate,45.85,8.7167,Italy,343,67306
Holdorf,52.5883,8.1286,Germany,344,71475
Saint-Pierre-du-Mont,43.8825,-0.5194,France,345,70887
Krefeld,51.3333,6.5667,Germany,346,93781
Agerola,40.6333,14.55,Italy,347,61118
Sovere,45.8167,10.0333,Italy,348,21695
Lemwerder,53.1667,8.6167,Germany,349,70672
Hövelhof,51.8167,8.65,Germany,350,72656
Brétigny-sur-Orge,48.6114,2.3059,France,351,89602
Bourg-Saint-Maurice,45.6167,6.7686,France,352,56544
Salbris,47.4253,2.0519,France,353,9687
Châtillon-sur-Seine,47.8583,4.5742,France,354,98059
Pesaro,43.9102,12.9133,Italy,355,6690
Herne,51.5426,7.219,Germany,356,79322
Vern-sur-Seiche,48.0447,-1.6003,France,357,94489
Candiolo,44.9667,7.6,Italy,358,71912
Pratovecchio,43.8015,11.7067,Italy,359,54090
Sehma,50.5167,12.9833,Germany,360,21373
Ober-Ramstadt,49.8333,8.75,Germany,361,1452
Divion,50.4722,2.5014,France,362,57064
Massa Lombarda,44.45,11.8167,Italy,363,92134
Werne an der Lippe,51.6667,7.6167,Germany,364,67070
Grottaglie,40.5333,17.4333,Italy,365,73019
Cinisello Balsamo,45.55,9.2167,Italy,366,69847
Grimma,51.2386,12.7253,Germany,367,10220
Wietze,52.65,9.8333,Germany,368,39694
Buchloe,48.0375,10.725,Germany,369,61313
Glauchau,50.8233,12.5444,Germany,370,75595
Oberhaching,48.0167,11.5833,Germany,371,57122
Igny,48.7422,2.2261,France,372,30346
Karstädt,53.1497,11.75,Germany,373,56472
Spoleto,42.7333,12.7333,Italy,374,55008
Stein bei Nürnberg,49.4167,11.0167,Germany,375,57477
Alfeld,51.9886,9.8269,Germany,376,16516
San Benigno Canavese,45.25,7.7833,Italy,377,29650
Bischberg,49.9,10.8167,Germany,378,41689
Esine,45.9264,10.2517,Italy,379,18997
Raubling,47.7881,12.1047,Germany,380,40652
Hénin-Beaumont,50.4217,2.9508,France,381,86630
Bad König,49.7413,9.0071,Germany,382,79351
Villa Bartolomea,45.1583,11.3531,Italy,383,43824
Le Creusot,46.8014,4.4411,France,384,1420
Carmignano,43.8103,11.0149,Italy,385,23961
Grigny,45.6083,4.7897,France,386,53782
Limay,48.9933,1.7358,France,387,10635
Brusciano,40.9224,14.4239,Italy,388,10913
Montesarchio,41.0667,14.6333,Italy,389,5249
Lavis,46.139,11.1123,Italy,390,42192
Tavagnacco,46.1333,13.2167,Italy,391,81926
Bergneustadt,51.0333,7.65,Germany,392,34040
Soresina,45.2865,9.857,Italy,393,68401
Bürstadt,49.6414,8.4546,Germany,394,87729
Angers,47.4736,-0.5542,France,395,17742
Calais,50.9481,1.8564,France,396,11830
Ambazac,45.9578,1.4,France,397,91768
Herten,51.6,7.1333,Germany,398,93782
Plabennec,48.5019,-4.4261,France,399,39476
Taucha,51.38,12.4936,Germany,400,92096
Turin,45.0667,7.7,Italy,401,18801
Allensbach,47.7153,9.0714,Germany,402,52109
Recale,41.05,14.3,Italy,403,23158
Ettenheim,48.2556,7.8119,Germany,404,39987
Battenberg,51.0167,8.65,Germany,405,12696
Sillingy,45.9458,6.0353,France,406,41931
Montemurlo,43.9278,11.04,Italy,407,6305
Cappelle-la-Grande,50.9983,2.3642,France,408,44559
Tiefenbach,48.6244,13.3989,Germany,409,55035
Canicattini Bagni,37.0333,15.0667,Italy,410,47302
Saint-Apollinaire,47.3317,5.0842,France,411,42665
Quinto Vicentino,45.5667,11.6167,Italy,412,12280
Waldfeucht,51.0667,5.9831,Germany,413,35535
Villafranca Tirrena,38.2333,15.4333,Italy,414,85267
Nole,45.25,7.5833,Italy,415,38698
Sandhausen,49.3439,8.6581,Germany,416,98906
Schönenberg-Kübelberg,49.4106,7.3767,Germany,417,48081
Pfungstadt,49.8056,8.6044,Germany,418,34322
Eslohe,51.25,8.1667,Germany,419,35803
Bléré,47.3253,0.9897,France,420,68959
Magenta,45.4603,8.8766,Italy,421,30718
Dorgali,40.2916,9.5876,Italy,422,9316
Maisenhausen,50.0172,8.9915,Germany,423,77144
Vanzago,45.5333,9.0,Italy,424,60237
Lambres-lès-Douai,50.3531,3.0678,France,425,21064
Balve,51.3333,7.8667,Germany,426,46931
Caluire-et-Cuire,45.7953,4.8472,France,427,11324
Marly-le-Roi,48.8669,2.0942,France,428,74486
Saint-Paul-Trois-Châteaux,44.3489,4.7686,France,429,78408
Bietigheim-Bissingen,48.9667,9.1333,Germany,430,84885
Saarbrücken,49.2333,7.0,Germany,431,97748
Oedheim,49.2333,9.25,Germany,432,77681
Locate di Triulzi,45.35,9.2167,Italy,433,94568
Mallersdorf-Pfaffenberg,48.7667,12.2333,Germany,434,38131
Noventa di Piave,45.6667,12.5333,Italy,435,95251
Velden,48.3667,12.25,Germany,436,97118
Lehre,52.3167,10.6667,Germany,437,25884
Gotha,50.9489,10.7183,Germany,438,1102
Saint-Jean-d’Angély,45.9442,-0.5211,France,439,9149
Kirn,49.7881,7.4572,Germany,440,87135
Wirges,50.4742,7.7953,Germany,441,59962
Minden,52.2883,8.9167,Germany,442,75626
Paese,45.6667,12.15,Italy,443,43070
Lézignan-Corbières,43.2006,2.7578,France,444,27516
Malnate,45.8,8.8833,Italy,445,47299
Villadose,45.0667,11.9,Italy,446,99199
Zossen,52.2167,13.4497,Germany,447,71436
Torre Santa Susanna,40.4667,17.7333,Italy,448,26687
Medicina,44.4833,11.6333,Italy,449,71072
Woltersdorf,52.4478,13.7572,Germany,450,27677
Birkenfeld,48.8697,8.6361,Germany,451,82344
Lünen,51.6167,7.5167,Germany,452,15383
Auxerre,47.7986,3.5672,France,453,23332
Calolziocorte,45.8,9.4333,Italy,454,31648
Vetschau/Spreewald,51.7831,14.0667,Germany,455,12546
Baesweiler,50.9,6.1833,Germany,456,7292
Olevano sul Tusciano,40.65,15.0167,Italy,457,48955
Crailsheim,49.1347,10.0706,Germany,458,43267
Biarritz,43.48,-1.56,France,459,32992
Chambourcy,48.9061,2.0403,France,460,56305
Spinea,45.4931,12.1606,Italy,461,61819
Montaigu,46.9728,-1.31,France,462,42163
Corropoli,42.8333,13.8333,Italy,463,82397
Lichtenstein,50.7564,12.6317,Germany,464,17385
Söhlde,52.2,10.2333,Germany,465,23334
Grünwald,48.0483,11.5317,Germany,466,34086
Achim,53.013,9.033,Germany,467,4227
Weilheim,47.8333,11.1333,Germany,468,44319
Racalmuto,37.4083,13.7347,Italy,469,32738
Castrovillari,39.8167,16.2,Italy,470,42500
Gottolengo,45.2928,10.2734,Italy,471,18299
Lindenfels,49.6849,8.7803,Germany,472,89651
Leonforte,37.65,14.4,Italy,473,60449
Marktoberdorf,47.7667,10.6167,Germany,474,43406
Ochsenfurt,49.6711,10.0498,Germany,475,41139
Groß Kreutz,52.3997,12.7831,Germany,476,83135
San Sperate,39.3575,9.0083,Italy,477,28645
Villeneuve-lès-Maguelone,43.5322,3.8608,France,478,88002
Compiègne,49.4149,2.8231,France,479,75532
Weißenfels,51.2,11.9667,Germany,480,29750
Saint-Junien,45.8872,0.9011,France,481,6695
Löningen,52.736,7.7579,Germany,482,31315
Canteleu,49.4511,1.0361,France,483,96192
Seelze,52.3961,9.5981,Germany,484,55536
Casalbordino,42.15,14.5833,Italy,485,99262
Sestri Levante,44.2733,9.3932,Italy,486,23443
Rovereto,45.8833,11.0342,Italy,487,87497
Kulmbach,50.1,11.4333,Germany,488,93888
Hennebont,47.8042,-3.2789,France,489,31205
Lauterbach,50.6378,9.3944,Germany,490,61916
Porto Tolle,44.95,12.3167,Italy,491,71414
Borgo Val di Taro,44.4833,9.7667,Italy,492,7131
Ciboure,43.3853,-1.6678,France,493,50546
Tournan-en-Brie,48.7406,2.7681,France,494,91053
Le Rheu,48.1019,-1.7956,France,495,34916
Carquefou,47.2969,-1.4928,France,496,10542
Schkopau,51.3833,11.9667,Germany,497,70056
Altmannstein,48.9,11.65,Germany,498,91726
Portoscuso,39.2049,8.3805,Italy,499,27495
Schortens,53.5333,7.95,Germany,500,19763
Tergnier,49.6558,3.2872,France,501,14470
Großmehring,48.7667,11.5331,Germany,502,61748
Pélissanne,43.6314,5.1506,France,503,58366
Saint-Jean-d’Illac,44.8097,-0.7836,France,504,56002
Sögel,52.85,7.5167,Germany,505,63813
Biesenthal,52.7667,13.6331,Germany,506,41757
Blankenfelde,52.35,13.4,Germany,507,98090
Ostuni,40.7322,17.5778,Italy,508,88611
Auxonne,47.1939,5.3878,France,509,2562
Challans,46.8467,-1.8781,France,510,43335
Kevelaer,51.5833,6.25,Germany,511,17785
Meerane,50.8519,12.4636,Germany,512,16649
Chantilly,49.1869,2.4608,France,513,96989
Montélimar,44.5581,4.7508,France,514,12407
Manoppello,42.2578,14.0597,Italy,515,3207
Lodi,45.3167,9.5,Italy,516,19981
Parchim,53.4167,11.8333,Germany,517,21566
Sacrofano,42.1,12.45,Italy,518,70951
Patti,38.1333,14.9667,Italy,519,73084
Hittfeld,53.3856,9.9844,Germany,520,89983
Château-Gontier,47.8286,-0.7028,France,521,55278
Monselice,45.2333,11.75,Italy,522,19515
Oranienbaum,51.8036,12.4064,Germany,523,38689
Langenzenn,49.4944,10.7947,Germany,524,80950
Mouans-Sartoux,43.62,6.9719,France,525,94183
Eaunes,43.4217,1.3544,France,526,25155
Menucourt,49.0272,1.9814,France,527,23438
Brignoles,43.4058,6.0617,France,528,22982
Seloncourt,47.4606,6.8583,France,529,69405
Castelleone,45.2958,9.7609,Italy,530,25759
Cordenons,45.9833,12.7,Italy,531,79970
Colleferro,41.7287,13.0031,Italy,532,52243
Piacenza,45.05,9.7,Italy,533,18293
La Tronche,45.2064,5.7403,France,534,36003
Haßloch,49.35,8.25,Germany,535,47188
Tangerhütte,52.4333,11.8,Germany,536,34457
Grömitz,54.1536,10.9575,Germany,537,3967
Saint-Denis-de-Pile,44.9917,-0.2061,France,538,90293
Othis,49.0764,2.6764,France,539,29259
Lèves,48.4689,1.4814,France,540,96557
Revel,43.4586,2.0042,France,541,43512
Leno,45.3703,10.2167,Italy,542,13061
Santeramo in Colle,40.8,16.7667,Italy,543,87007
Mönchengladbach,51.2,6.4333,Germany,544,58935
Cernusco sul Naviglio,45.5167,9.3333,Italy,545,93682
Billerbeck,51.9792,7.295,Germany,546,88957
Bad Wurzach,47.9094,9.8994,Germany,547,45735
