nbr_de_places,espace_enfant,service_de_payement,accessebilite_mobilite_reduite,parking,numero_tel_resto,siret,id_resto
27,1,CB,0,1,+33 (0)4 30 47 89 45,36593716229,156
85,0,CB,0,1,03 29 70 51 21,85432665419,157
27,1,cheque,1,0,+33 3 45 35 32 88,95055972744,158
75,0,cheque,0,1,01 49 47 28 25,61990383632,159
50,1,cheque,0,1,+33 3 26 12 31 84,72744310493,160
88,0,CB,1,0,+33 (0)2 41 80 00 98,27442041597,161
59,0,espece,0,1,0422768136,80725611643,162
81,1,CB,1,1,0367425932,95980323856,163
50,1,cheque,1,0,+33 (0)4 13 48 55 44,35741578050,164
81,1,CB,1,0,+33 (0)2 31 18 89 04,52223061900,165
24,0,espece,1,1,+33 5 53 86 61 44,29307652316,166
96,0,CB,1,1,0485006579,19373433559,167
72,1,cheque,0,1,+33 (0)4 50 13 92 51,25381071373,168
62,0,cheque,1,1,+33 (0)2 32 69 58 65,94760488164,169
58,0,CB,1,1,04 81 00 26 36,91177989746,170
95,1,cheque,1,0,0164267087,93646183456,171
66,1,espece,1,0,0298762546,25892507578,172
94,0,cheque,1,1,+33 4 38 21 68 35,44907942314,173
55,0,espece,0,0,0364918702,49553585410,174
60,1,espece,0,0,+33 3 87 77 99 09,19170926899,175
21,1,espece,1,1,04 86 52 31 93,60431740438,176
59,0,CB,1,1,+33 4 49 09 97 89,50068985002,177
33,0,cheque,1,1,+33 (0)3 26 41 28 83,55059021697,178
72,0,cheque,0,1,02 53 01 15 72,65147131695,179
98,1,cheque,1,0,03 57 85 16 32,49621421614,180
36,1,espece,1,1,03 82 75 60 25,61848812055,181
75,0,espece,1,1,+33 (0)1 43 51 52 69,88849555455,182
57,0,cheque,0,1,01 74 04 61 69,36349422506,183
92,0,CB,1,0,+33 3 68 98 34 55,61252820945,184
33,1,espece,0,0,0228087158,95878910842,185
96,1,CB,0,0,0219023603,67504260922,186
88,0,CB,0,1,+33 4 73 07 55 76,59452934476,187
46,0,espece,1,1,03 54 10 66 55,20068583690,188
71,1,espece,0,1,03 23 97 17 96,47843154285,189
88,1,cheque,1,0,+33 (0)4 82 33 19 83,44979140192,190
98,1,CB,0,0,02 40 75 64 88,19619839026,191
81,1,cheque,1,0,0245375360,84672863710,192
56,1,CB,0,1,+33 (0)3 75 71 88 62,31804112838,193
85,1,espece,0,0,+33 (0)4 58 72 95 95,90039561145,194
75,0,espece,0,1,+33 (0)4 76 77 32 82,48392298672,195
86,1,CB,0,1,+33 4 44 12 49 40,83944382404,196
26,0,CB,0,1,+33 (0)4 79 18 17 59,30370741418,197
82,1,cheque,0,1,+33 (0)2 47 29 23 51,47303988866,198
50,0,cheque,0,1,02 43 63 09 28,59521916138,199
83,1,CB,1,0,+33 (0)3 60 01 17 58,25677001037,200
78,1,cheque,1,1,+33 1 58 05 90 47,93342178713,201
32,1,cheque,0,0,04 74 88 18 37,19832672227,202
55,1,espece,0,1,03 84 68 78 46,30685720072,203
69,1,cheque,0,0,04 42 34 28 64,93888894233,204
46,1,cheque,0,0,+33 1 83 78 03 46,23775659798,205
46,1,espece,1,0,0228120612,41153078940,206
81,0,espece,1,1,05 96 05 89 56,17058030796,207
54,0,cheque,0,0,04 58 44 20 08,66823267337,208
51,0,espece,0,0,05 56 17 29 34,51680416327,209
36,0,espece,1,1,+33 (0)4 83 61 74 30,61549421404,210
94,0,CB,0,0,+33 2 14 35 30 86,50472360677,211
72,1,espece,1,1,02 46 24 93 46,97535529139,212
63,1,CB,1,0,+33 (0)3 75 71 52 97,13259934569,213
24,0,cheque,1,1,0531931420,40291464970,214
24,1,CB,1,0,+33 (0)2 79 30 61 23,74729760439,215
22,0,CB,1,1,+33 3 82 11 08 30,92213471982,216
43,0,cheque,1,0,04 57 70 19 47,77145816886,217
37,0,espece,1,1,05 40 28 44 27,15189540898,218
65,0,CB,1,1,+33 (0)5 40 29 53 01,65573180778,219
25,1,CB,1,0,+33 (0)3 57 00 32 82,50485837893,220
56,0,cheque,1,0,+33 (0)3 83 27 31 00,39285588471,221
60,0,espece,1,1,02 57 94 63 03,33461418841,222
55,1,CB,1,1,+33 (0)4 83 68 51 23,29261938389,223
61,0,cheque,0,0,+33 (0)7 42 24 32 61,56219267057,224
41,0,espece,1,1,+33 1 34 70 61 33,63484155205,225
79,1,espece,1,1,+33 5 35 42 85 97,70857029663,226
29,0,CB,0,0,0365841841,62881280321,227
97,1,CB,0,1,0494264618,24759689282,228
50,0,cheque,1,0,03 86 15 45 92,20311214019,229
70,1,espece,1,1,+33 (0)5 46 35 50 76,90689987304,230
89,0,cheque,1,1,04 58 29 34 09,67754346950,231
36,1,cheque,0,1,+33 2 85 05 79 39,78287847885,232
85,1,CB,0,1,+33 4 58 83 52 68,28328528278,233
75,1,CB,0,1,04 32 85 22 38,88409516033,234
77,1,cheque,1,0,+33 1 88 26 05 56,10167660019,235
22,0,cheque,1,0,0423753745,38789586880,236
97,0,CB,1,0,+33 (0)3 57 07 08 61,12181921045,237
30,1,cheque,1,1,+33 2 90 53 14 42,59984114074,238
85,1,CB,0,1,03 22 91 93 14,30376755926,239
90,0,CB,0,0,+33 1 82 22 50 41,57890166442,240
93,1,espece,0,1,03 23 44 45 72,98913093716,241
92,0,cheque,1,0,+33 (0)5 16 02 77 67,27594451964,242
34,0,cheque,0,1,+33 3 67 11 40 81,52526065780,243
41,0,CB,0,0,0442327123,25352223005,244
49,0,cheque,0,1,0486125813,70121184193,245
67,0,cheque,0,1,+33 (0)1 64 09 83 14,38287860038,246
80,0,espece,1,1,+33 (0)3 73 03 78 63,60636166247,247
70,0,espece,0,0,+33 (0)2 50 13 22 02,95607507609,248
49,0,CB,0,1,05 45 78 17 07,95771364959,249
32,1,cheque,1,1,01 75 95 65 54,47053220482,250
36,0,CB,0,0,+33 4 13 84 99 81,96621949529,251
68,1,cheque,0,0,0182103335,18022839479,252
26,1,CB,0,1,+33 5 59 51 28 70,54186242375,253
35,1,CB,1,0,+33 4 92 56 65 25,56066681445,254
35,0,espece,1,0,03 90 67 05 93,36959480622,255
25,0,cheque,1,0,+33 4 56 89 97 73,18696148710,256
99,1,espece,0,1,+33 (0)2 29 20 73 56,16931968169,257
27,0,espece,0,0,0277767314,48427504724,258
87,0,cheque,1,1,+33 5 24 49 98 15,31065275762,259
58,0,CB,1,1,+33 3 22 42 91 69,37337731902,260
39,1,cheque,0,0,+33 2 61 22 59 11,18128785727,261
92,0,espece,0,0,+33 (0)2 50 77 67 63,59987080731,262
36,1,CB,1,1,03 84 84 84 68,89638364912,263
29,1,espece,0,0,+33 (0)1 42 54 51 40,77015279946,264
24,1,espece,1,1,+33 (0)2 52 30 44 00,35609355215,265
51,1,CB,0,0,03 87 56 57 88,11537953600,266
68,1,CB,1,0,0262411147,93766227240,267
84,1,CB,0,0,+33 (0)5 46 97 86 73,15429998412,268
89,1,cheque,1,1,+33 (0)4 30 13 68 79,42249567408,269
96,1,cheque,1,0,+33 (0)2 30 19 54 27,68313460678,270
52,0,espece,0,1,+33 4 23 11 01 13,16767928085,271
54,0,espece,1,1,0556178691,85863221296,272
97,0,CB,1,1,02 18 46 48 82,39743178404,273
32,0,cheque,1,1,0134734092,13459911279,274
36,0,cheque,1,0,0519968400,45608752468,275
55,1,cheque,1,0,+33 4 69 73 14 63,24320700832,276
52,0,CB,1,0,+33 4 93 42 37 07,65114906111,277
73,0,espece,0,1,+33 2 41 89 81 85,99050649805,278
70,1,cheque,1,1,0320632593,81971997122,279
83,1,espece,0,0,04 72 69 78 06,44411681006,280
81,1,CB,0,1,+33 3 90 11 98 79,57394054467,281
69,0,CB,0,0,0491940480,35340417754,282
74,1,cheque,0,1,04 38 81 38 33,12481163383,283
84,0,CB,1,0,+33 3 22 71 84 07,88405748505,284
48,1,cheque,1,1,+33 5 34 54 82 42,99830522976,285
75,0,CB,0,0,+33 (0)4 95 37 89 21,79018834285,286
50,1,cheque,0,1,0285789642,17806706326,287
91,1,espece,1,0,+33 1 88 20 85 13,27331432488,288
68,0,espece,0,0,+33 (0)4 79 66 11 00,82034740633,289
93,0,CB,1,1,02 40 59 34 06,87190188362,290
26,0,CB,0,0,+33 (0)2 36 71 43 96,93461760323,291
21,0,espece,0,0,+33 (0)3 75 22 29 35,80189837729,292
40,1,espece,0,0,0430377932,81060530093,293
96,0,espece,0,1,0368592444,63091597076,294
42,1,espece,1,1,+33 (0)2 44 85 87 61,59247665408,295
25,0,CB,0,0,02 22 74 60 79,68854704120,296
71,0,espece,0,1,0321531798,51886155816,297
56,1,CB,0,0,+33 (0)2 40 72 36 11,85857224709,298
39,0,CB,0,1,+33 (0)3 90 02 94 07,32310205063,299
62,0,espece,1,0,0438624179,49003276015,300
20,1,cheque,1,1,+33 1 83 34 59 63,51945983985,301
82,0,CB,0,1,+33 4 82 81 21 42,38371448819,302
57,0,espece,1,1,0564874913,73536943823,303
78,0,cheque,0,0,04 77 19 90 75,29043586432,304
43,0,CB,1,0,0214913404,21574954489,305
51,1,CB,0,1,01 43 20 30 91,68966760260,306
90,1,cheque,0,1,+33 (0)2 72 88 20 18,99436970597,307
77,0,cheque,0,1,0481767310,25009903151,308
91,0,espece,1,1,0141682811,42716720053,309
56,0,CB,1,1,0563149986,58809242625,310
31,0,espece,0,0,04 37 22 77 77,28228561392,311
83,0,CB,1,0,0321115407,63175315359,312
79,0,cheque,1,1,03 24 78 78 89,11459745076,313
26,0,CB,0,1,+33 2 55 35 71 77,81081011280,314
85,1,espece,1,0,+33 (0)1 70 94 71 57,20052308257,315
22,0,espece,1,0,0328915416,36534649885,316
49,0,cheque,1,0,0494133704,81176493708,317
32,0,espece,0,1,04 74 52 77 90,26023343309,318
25,1,espece,1,1,0360039380,59894666139,319
93,1,cheque,0,1,0475837050,92158896430,320
29,1,espece,0,0,0214067037,16951815169,321
94,0,espece,0,1,+33 2 34 65 29 51,57866605709,322
23,1,espece,0,1,+33 5 33 59 99 22,36276633334,323
46,0,cheque,1,0,+33 (0)2 97 61 07 35,37938766125,324
89,1,cheque,1,0,+33 (0)1 53 41 62 85,66495374462,325
63,1,cheque,0,0,0272550225,42975462916,326
91,1,cheque,0,0,04 15 43 93 20,14989226774,327
99,1,CB,0,0,0130211500,60309671698,328
96,1,CB,1,1,0473774780,72452660685,329
65,1,espece,1,0,0559605256,26157624229,330
64,0,espece,0,1,0276104847,46141497058,331
58,0,CB,0,0,+33 4 89 23 52 41,89995629968,332
24,1,espece,1,1,+33 (0)4 32 35 41 13,64453212508,333
22,0,cheque,1,1,0549901699,73636964981,334
56,1,espece,0,1,0415251600,53914161193,335
63,0,cheque,1,1,+33 (0)5 57 51 53 86,20474970956,336
83,1,cheque,1,1,02 57 26 61 38,74862559222,337
66,0,espece,0,1,+33 4 20 94 23 13,84290007288,338
36,1,espece,0,1,0230874046,79737588300,339
34,1,CB,0,1,+33 (0)2 76 94 39 85,30554541073,340
51,0,espece,1,1,+33 (0)3 71 26 94 59,73189061354,341
32,1,cheque,1,1,+33 (0)3 67 84 16 04,10509033377,342
40,0,cheque,1,0,0559341178,72871784540,343
26,1,CB,1,0,+33 (0)4 89 48 06 66,94747581147,344
87,1,CB,0,1,0285191760,58333827219,345
49,0,CB,0,1,+33 2 32 38 48 90,74283018189,346
43,1,CB,0,0,+33 4 75 22 66 34,62365121560,347
100,1,cheque,1,0,+33 4 83 99 97 71,58237239655,348
42,1,espece,1,1,0248972979,55716011052,349
28,0,espece,0,0,0174562833,66395784037,350
91,0,espece,0,1,0219587400,68722326299,351
81,0,espece,1,0,0155497944,75340539017,352
27,0,CB,0,1,04 78 62 25 09,70216503639,353
91,0,CB,1,0,+33 5 46 56 65 39,37085601529,354
33,1,espece,1,0,05 35 54 13 18,80614945397,355
36,1,cheque,0,0,0356163505,14313826661,356
95,0,cheque,0,0,04 15 18 51 44,93595140336,357
36,1,CB,1,1,+33 (0)2 36 63 35 89,31221653444,358
88,0,cheque,1,1,04 66 45 19 24,48372027039,359
29,1,espece,0,1,+33 7 54 45 59 51,74019441969,360
25,1,CB,1,0,+33 5 18 56 72 50,53887256217,361
72,0,espece,0,0,04 38 73 69 28,13284280663,362
53,0,CB,0,1,02 14 99 26 65,18466147385,363
24,1,cheque,1,0,0489603038,33878841809,364
38,0,espece,1,0,0368876768,67933859555,365
29,0,CB,1,1,+33 5 17 66 32 61,18478761345,366
23,1,CB,0,1,+33 (0)2 36 37 07 09,68506326780,367
44,0,espece,1,0,+33 4 92 03 59 40,36278456823,368
72,0,cheque,1,0,+33 3 67 72 98 62,44832022697,369
27,0,espece,1,0,+33 (0)3 22 36 71 01,45689077334,370
63,0,CB,1,1,0594389552,78383728052,371
49,0,cheque,0,0,04 98 71 30 85,27795765470,372
91,1,espece,0,1,+33 (0)5 19 10 34 70,26422807244,373
41,1,CB,1,0,+33 (0)2 85 21 53 58,18204608031,374
75,1,CB,0,0,0486501716,95199506421,375
97,0,cheque,0,0,+33 (0)1 42 70 20 74,57743667557,376
84,0,cheque,0,1,0365734337,36969887643,377
69,0,cheque,0,1,0492823932,85524337717,378
63,0,cheque,1,1,01 83 90 81 29,22252881717,379
76,1,cheque,0,1,05 16 41 84 40,82227227041,380
84,1,espece,1,1,0141399031,59300966735,381
43,0,CB,0,0,01 76 87 09 66,54745989154,382
23,1,CB,1,1,0479683221,90836823443,383
44,0,espece,0,1,+33 (0)4 68 54 00 91,77220608978,384
95,0,cheque,1,1,02 47 80 02 80,59394818900,385
25,1,cheque,0,1,+33 4 90 94 59 50,72333017912,386
53,0,CB,0,1,+33 (0)3 55 61 39 37,54206776310,387
72,1,espece,1,1,+33 5 47 26 97 89,31361544372,388
26,1,CB,1,1,04 27 58 24 67,83950705518,389
95,0,espece,0,0,+33 (0)1 64 50 49 62,85546523304,390
27,0,CB,1,1,+33 (0)5 61 27 14 57,62693258069,391
80,1,CB,0,0,+33 4 90 00 21 10,44927034894,392
56,0,espece,0,0,0246945328,92132830148,393
96,1,CB,1,0,+33 (0)2 76 90 56 19,48474590667,394
89,0,espece,0,0,04 32 47 65 48,97485301995,395
91,1,cheque,0,0,01 43 29 18 21,22887918828,396
87,1,espece,0,0,+33 (0)4 37 69 69 01,51022764520,397
74,0,espece,1,0,+33 (0)3 90 69 28 90,80430745885,398
47,0,espece,0,0,+33 (0)1 53 93 13 33,20695400094,399
90,0,CB,1,0,+33 2 97 76 29 02,70975929179,400
34,1,CB,0,1,0518280682,59192465347,401
90,1,espece,1,0,+33 3 89 19 60 21,52216739786,402
80,1,espece,0,0,+33 (0)1 88 46 20 43,75650827955,403
44,1,cheque,0,0,05 59 11 21 99,29919015784,404
21,0,CB,1,0,+33 (0)3 58 13 35 46,70905037566,405
98,1,CB,1,1,+33 4 30 10 56 61,16670230570,406
36,0,cheque,1,1,+33 (0)4 84 71 32 71,31880238363,407
21,1,CB,0,1,0481057774,57725196780,408
56,0,cheque,0,1,+33 4 15 35 66 22,21543134503,409
89,0,cheque,0,0,0174251815,14371671622,410
66,1,cheque,0,1,+33 3 65 30 12 99,68068937244,411
30,0,CB,1,1,02 32 53 04 90,63759302747,412
85,1,CB,0,1,+33 (0)2 18 70 27 16,97504974516,413
22,0,cheque,1,0,+33 3 68 17 50 93,21206353469,414
88,0,cheque,1,1,0153599484,18296931635,415
81,1,CB,0,0,05 61 68 21 16,93223997816,416
96,1,espece,0,0,0188562943,42446094220,417
83,0,CB,0,0,+33 1 76 66 19 34,99849386053,418
88,1,CB,0,1,03 82 13 56 60,29846439651,419
97,1,cheque,0,0,03 64 82 39 40,98360354087,420
34,0,cheque,1,0,0438944665,73008466150,421
89,0,cheque,1,1,+33 5 35 67 32 46,61902346924,422
76,1,espece,1,1,+33 (0)3 61 44 28 21,46131450915,423
26,1,espece,0,1,+33 (0)2 51 61 25 68,25119122621,424
91,0,espece,0,0,02 52 19 18 74,53644604021,425
84,1,CB,0,1,+33 1 47 65 43 49,32620237661,426
67,0,espece,1,1,02 72 81 81 13,99082509353,427
47,1,CB,0,1,+33 (0)1 44 71 51 85,44591286011,428
29,1,espece,0,0,+33 (0)3 51 69 56 09,37176742116,429
31,0,espece,1,0,+33 3 88 06 44 29,49278317166,430
76,0,espece,0,1,+33 (0)2 76 88 26 35,84480629324,431
71,0,espece,1,1,+33 (0)1 64 52 54 33,50867962190,432
70,0,cheque,0,0,+33 (0)2 44 07 29 12,50115430364,433
24,1,espece,1,0,+33 4 56 20 01 34,74923698436,434
39,0,espece,0,1,0422305657,40926794944,435
89,0,cheque,1,0,0327740068,29123197622,436
79,1,CB,1,1,0518473513,39694136751,437
100,0,CB,0,0,0367146590,20391149741,438
84,1,espece,1,0,0353612512,45162401709,439
35,0,CB,1,1,0356443160,81627325280,440
67,0,CB,0,0,02 14 79 37 65,94079795147,441
33,0,espece,0,1,+33 (0)1 60 21 14 95,36093191678,442
75,1,cheque,0,1,03 89 76 06 22,83690876474,443
72,1,cheque,0,1,+33 1 80 37 82 47,40267171859,444
70,0,cheque,0,0,+33 4 57 94 46 49,79814420449,445
90,1,cheque,0,1,+33 5 65 57 90 87,38128429399,446
30,0,cheque,0,0,0364817725,86567288085,447
73,1,cheque,1,1,+33 (0)5 31 03 65 78,24001478188,448
47,0,espece,1,0,0183171022,19909922431,449
84,1,cheque,0,1,+33 (0)3 71 06 27 14,98553087460,450
48,1,espece,1,0,+33 5 54 77 13 89,74956290623,451
45,1,espece,1,1,+33 3 10 73 16 61,97209861982,452
84,1,cheque,0,0,0531353366,89919112763,453
27,0,CB,0,1,+33 5 08 51 83 13,65370702599,454
31,0,espece,0,1,+33 (0)1 56 55 39 67,75564898091,455
79,1,cheque,0,0,+33 1 53 77 77 53,48344307053,456
84,0,cheque,0,1,+33 1 82 88 05 98,23356443437,457
90,1,cheque,1,0,02 49 60 02 71,18486806523,458
33,0,cheque,1,1,0531301790,11723713963,459
43,1,espece,1,0,04 76 61 19 65,38082840638,460
88,0,CB,0,1,+33 2 33 73 32 95,57426739953,461
58,1,CB,0,0,0179440058,87067587080,462
28,0,espece,1,1,0182164959,67061152099,463
75,0,cheque,0,1,03 23 34 38 10,13211030947,464
39,1,CB,0,1,0323928320,82505944014,465
24,1,espece,1,1,0426511213,25396012854,466
27,0,espece,1,0,0457085455,16171526820,467
21,1,espece,0,1,+33 (0)5 45 82 50 34,16688895466,468
88,0,espece,0,0,+33 3 64 58 07 03,38426280097,469
27,1,cheque,1,0,04 67 56 57 64,95169441108,470
89,1,CB,1,1,04 89 11 95 16,42754400591,471
37,0,espece,1,1,02 41 41 19 70,52674672895,472
82,1,CB,0,0,+33 1 34 05 63 82,11407195025,473
76,1,CB,0,0,06 69 81 64 18,20631977594,474
